,Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
118,The Holiday,"Comedy, Romance",136,2006,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.",224215,63.22,6.9,52.0
119,"Love, Rosie","Comedy, Romance",102,2014,"Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies.",109207,0.01,7.2,44.0
120,"Love, Simon","Comedy, Drama, Romance",110,2018,"Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.",86411,40.83,7.6,72.0
121,Weird Science,"Comedy, Romance, Sci-Fi",94,1985,"Two high school nerds use a computer program to literally create the perfect woman, but she turns their lives upside down.",74467,23.83,6.6,46.0
122,Easy A,"Comedy, Drama, Romance",92,2010,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,336924,58.40,7.1,72.0
123,The Princess Diaries,"Comedy, Family, Romance",111,2001,"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.",118920,108.25,6.3,52.0
124,What Men Want,"Comedy, Fantasy, Romance",117,2019,"A woman is boxed out by the male sports agents in her profession, but gains an unexpected edge over them when she develops the ability to hear men's thoughts.",14240,54.61,5.1,49.0
125,Midnight in Paris,"Comedy, Fantasy, Romance",94,2011,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.",363191,56.82,7.7,81.0
127,When Harry Met Sally...,"Comedy, Drama, Romance",95,1989,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",181125,92.82,7.6,76.0
128,Sixteen Candles,"Comedy, Romance",93,1984,"A girl's ""sweet"" sixteenth birthday becomes anything but special, as she suffers from every embarrassment possible.",96649,23.69,7.1,61.0
129,Focus,"Comedy, Crime, Drama",105,2015,"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.",197300,53.86,6.6,56.0
130,Friends with Benefits,"Comedy, Romance",109,2011,"A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.",322554,55.80,6.5,63.0
131,Coyote Ugly,"Comedy, Drama, Music",100,2000,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",102258,60.79,5.7,27.0
132,Boomerang,"Comedy, Drama, Romance",117,1992,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,24173,70.10,5.5,45.0
134,The Bounty Hunter,"Action, Comedy, Romance",110,2010,"A bounty hunter learns that his next target is his ex-wife, a reporter working on a murder cover-up. Soon after their reunion, the always-at-odds duo find themselves on a run-for-their-lives adventure.",114903,67.06,5.6,22.0
136,Footloose,"Comedy, Drama, Music",113,2011,"City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.",44001,51.80,5.9,58.0
137,Don Jon,"Comedy, Drama, Romance",90,2013,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",219077,24.48,6.5,66.0
138,Groundhog Day,"Comedy, Fantasy, Romance",101,1993,A weatherman finds himself inexplicably living the same day over and over again.,549952,70.91,8.0,72.0
141,I'll See You in My Dreams,"Comedy, Drama, Romance",92,2015,A widow and former songstress discovers that life can begin anew at any age.,6414,7.43,6.7,75.0
143,Mr. Right,"Action, Comedy, Romance",95,2015,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.",43624,0.03,6.3,52.0
144,Shrek 2,"Animation, Adventure, Comedy",93,2004,Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,391944,436.47,7.2,75.0
145,Mike and Dave Need Wedding Dates,"Comedy, Romance",98,2016,"Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",77085,46.01,6.0,51.0
146,Good Luck Chuck,"Comedy, Romance",96,2007,"In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true love.",82548,34.93,5.6,19.0
150,The Secret Life of Walter Mitty,"Comedy, Drama, Fantasy",114,2013,"When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.",279759,58.24,7.3,54.0
151,500 Days of Summer,"Comedy, Drama, Romance",95,2009,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",448513,32.39,7.7,76.0
153,Big,"Comedy, Drama, Fantasy",104,1988,"After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.",183722,114.97,7.3,73.0
154,Robin Hood: Men in Tights,"Adventure, Comedy, Musical",104,1993,"A spoof of Robin Hood in general, and",109542,35.74,6.7,44.0
155,Keeping the Faith,"Comedy, Drama, Romance",128,2000,"Two friends, a priest and a rabbi, fall in love with the same woman they knew in their youth, but the religious position of both men denies them romance.",48311,37.05,6.3,60.0
156,Overboard,"Comedy, Romance",112,2018,"After a spoiled, wealthy yacht owner is thrown overboard and loses his memory, a mistreated employee convinces him that he is her working-class husband.",28570,50.32,5.9,42.0
157,Forgetting Sarah Marshall,"Comedy, Drama, Romance",111,2008,"Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",251278,63.17,7.1,67.0
158,Elf,"Comedy, Family, Fantasy",97,2003,"After discovering he is a human, a man raised as an elf at the North Pole decides to travel to New York City to locate his real father.",194798,173.40,6.9,64.0
162,Knocked Up,"Comedy, Romance",129,2007,"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",336204,148.73,6.9,85.0
163,Some Like It Hot,"Comedy, Music, Romance",121,1959,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",226318,25.00,8.2,97.0
165,She's Out of My League,"Comedy, Romance",104,2010,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.",119101,31.58,6.4,46.0
166,Sweet Home Alabama,"Comedy, Romance",108,2002,"A young woman who's reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband, after seven years of separation.",97072,127.22,6.2,45.0
167,She's All That,"Comedy, Romance",95,1999,A high school jock makes a bet that he can turn an unattractive girl into the school's prom queen.,79795,63.37,5.9,51.0
168,Youth,"Comedy, Drama, Music",124,2015,A retired orchestra conductor is on vacation with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.,66145,2.70,7.3,64.0
169,Enchanted,"Animation, Comedy, Family",107,2007,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil queen, where she falls in love with a lawyer.",167910,127.81,7.0,75.0
170,Singin' in the Rain,"Comedy, Musical, Romance",103,1952,A silent film production company and cast make a difficult transition to sound.,202470,8.82,8.3,99.0
171,Sex and the City 2,"Comedy, Drama, Romance",146,2010,"While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",70531,95.35,4.5,27.0
173,Swiss Army Man,"Comedy, Drama, Fantasy",97,2016,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.,95343,4.21,7.0,64.0
174,50 First Dates,"Comedy, Drama, Romance",99,2004,"Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the next day.",309222,120.91,6.8,48.0
176,Bad Teacher,"Comedy, Romance",92,2011,"A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her.",184082,100.29,5.6,47.0
178,Bill & Ted's Excellent Adventure,"Adventure, Comedy, Music",90,1989,Two seemingly dumb teens set off on a quest to prepare the ultimate historical presentation with the help of a time machine.,102937,40.49,6.9,44.0
182,The Life Aquatic with Steve Zissou,"Action, Adventure, Comedy",119,2004,"With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.",168954,24.01,7.3,62.0
183,Up in the Air,"Comedy, Drama, Romance",109,2009,"Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire.",304675,83.82,7.4,83.0
184,Second Act,"Comedy, Drama, Romance",103,2018,A big box store worker reinvents her life and her life-story and shows Madison Avenue what street smarts can do.,16788,39.28,5.8,46.0
185,The Other Woman,"Comedy, Romance",109,2014,"After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.",124879,83.91,6.0,39.0
186,Warm Bodies,"Comedy, Horror, Romance",98,2013,"After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.",211193,66.38,6.9,60.0
187,Trainwreck,"Comedy, Drama, Romance",125,2015,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",123811,110.21,6.2,75.0
188,How to Lose a Guy in 10 Days,"Comedy, Romance",116,2003,"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days. Andie Anderson covers the ""How To"" beat for ""Composure"" magazine and is assigned to write an article on ""How to Lose a Guy in 10 days."" They meet in a bar shortly after the bet is made.",195209,105.81,6.4,45.0
189,The Great Race,"Action, Adventure, Comedy",160,1965,"In the early 20th century, two rivals, the heroic Leslie and the despicable Professor Fate, engage in an epic automobile race from New York to Paris.",15061,25.33,7.2,71.0
190,Adventures in Babysitting,"Adventure, Comedy, Crime",102,1987,A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.,34772,34.37,6.9,45.0
192,That Awkward Moment,"Comedy, Romance",94,2014,"Three best friends find themselves where we've all been - at that confusing moment in every dating relationship when you have to decide ""So...where is this going?""",93631,26.05,6.1,36.0
193,A Night at the Roxbury,"Comedy, Music, Romance",82,1998,"Two dim-witted brothers dream of owning their own dance club or at least getting into the coolest and most exclusive club in town, The Roxbury.",54091,30.32,6.3,26.0
195,Little Italy,"Comedy, Romance",102,2018,"A young couple must navigate a blossoming romance, amidst a war between their families' competing pizza restaurants.",7468,0.99,5.7,28.0
196,Sex Drive,"Comedy, Romance",109,2008,A high school senior drives cross-country with his best friends to hook up with a babe he met online.,80664,8.40,6.5,49.0
197,The Big Sick,"Comedy, Drama, Romance",120,2017,"Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",108326,42.87,7.6,86.0
198,Bridget Jones's Diary,"Comedy, Drama, Romance",97,2001,A British woman is determined to improve herself while she looks for love in a year in which she keeps a personal diary.,210895,71.54,6.7,66.0
199,Zack and Miri Make a Porno,"Comedy, Romance",101,2008,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",167654,31.46,6.5,56.0
201,Mother's Day,"Comedy, Drama, Romance",118,2016,Three generations come together in the week leading up to Mother's Day.,29813,32.46,5.7,18.0
202,Just Friends,"Comedy, Romance",96,2005,"While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with -- a woman whose rejection of him turned him into a ferocious womanizer.",99423,32.62,6.2,47.0
204,Something Borrowed,"Comedy, Drama, Romance",112,2011,"Friendships are tested and secrets come to the surface when terminally single Rachel falls for Dex, her best friend Darcy's fiancé.",55150,39.05,5.9,36.0
205,Hairspray,"Comedy, Drama, Musical",117,2007,Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,114572,118.87,6.6,81.0
206,Private School,"Comedy, Romance",89,1983,"Christine (Phoebe Cates), a student at an exclusive all-girls private school, is in love with Jim, who attends an academy for boys nearby. Christine's arch rival Jordan also has her eye on ...",5364,14.05,5.3,25.0
209,Aloha,"Comedy, Drama, Romance",105,2015,A celebrated military contractor returns to the site of his greatest career triumphs and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watch-dog assigned to him.,56854,20.99,5.4,40.0
211,Hitch,"Comedy, Romance",118,2005,"While helping his latest client woo the woman of his dreams, a professional ""date doctor"" finds that his game doesn't quite work on the gossip columnist with whom he's smitten.",282292,179.50,6.6,58.0
212,The Proposal,"Comedy, Drama, Romance",108,2009,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,277935,163.96,6.7,48.0
213,Vicky Cristina Barcelona,"Comedy, Drama, Romance",96,2008,"Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",230889,23.22,7.1,70.0
214,The Spectacular Now,"Comedy, Drama, Romance",95,2013,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""",136595,6.85,7.1,82.0
215,About a Boy,"Comedy, Drama, Romance",101,2002,"A cynical, immature young man is taught how to act like a grown-up by a little boy.",164286,41.39,7.0,75.0
216,P.S. I Love You,"Comedy, Drama, Romance",126,2007,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,193525,53.70,7.0,39.0
218,Annie Hall,"Comedy, Romance",93,1977,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,239952,39.20,8.0,92.0
220,The Mask of Zorro,"Action, Adventure, Comedy",136,1998,"A young thief (Antonio Banderas), seeking revenge for the death of his brother, is trained by the once great, but aged Zorro (Sir Anthony Hopkins), who also pursues vengeance of his own.",159270,94.10,6.7,63.0
221,Career Opportunities,"Comedy, Romance",83,1991,Jim is the dorky son of a local cement contractor who lives at home and has no direction. Josie is the gorgeous daughter of a wealthy businessman who dreams of leaving town. They find they have a lot in common.,9090,11.34,5.9,41.0
