Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
The House Bunny,"
Comedy, Romance            ",97 min,(2008),"
    After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls.","75,615",$48.24M,5.5,55        
Victor Victoria,"
Comedy, Music, Musical            ",134 min,(1982),"
    A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life.","18,246",$21.93M,7.6,84        
Always Be My Maybe,"
Comedy, Romance            ",101 min,(2019),"
    Everyone assumed Sasha and Marcus would wind up together except for Sasha and Marcus. Reconnecting after 15 years, the two start to wonder - maybe?","35,305",,6.8,64        
The Last Man on Earth,"
Action, Comedy, Drama            ",22 min,(2015–2018),"
    Almost two years after a virus wiped out most of the human race, Phil Miller only wishes for some company, but soon gets more than he bargained for when that company shows up in the form of other survivors.","49,486",,7.3,
Shallow Hal,"
Comedy, Drama, Fantasy            ",114 min,(2001),"
    A shallow man falls in love with a 300-pound woman because of her inner beauty.","122,279",$70.84M,5.9,48        
Blended,"
Comedy, Romance            ",117 min,(2014),"
    After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.","109,232",$46.29M,6.5,31        
Mamma Mia!,"
Comedy, Musical, Romance            ",108 min,(2008),"
    The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ","199,114",$144.13M,6.4,51        
BH90210,"
Comedy, Drama, Romance            ",43 min,(2019– ),"
    Fictional drama about actors rebooting a global-hit TV show that they had starred in 29 years ago for 10 years. However, that hit show was real, and the actors from it are playing versions of themselves here. That hit was ","3,195",,7.0,
You've Got Mail,"
Comedy, Drama, Romance            ",119 min,(1998),"
    Two business rivals who despise each other in real life unwittingly fall in love over the Internet.","180,964",$115.82M,6.6,57        
Private Practice,"
Comedy, Drama, Romance            ",60 min,(2007–2013),"
    A spin-off of the medical drama ""Grey's Anatomy"" centering on the life of neonatal surgeon Addison Montgomery.","20,933",,6.6,
Love & Other Drugs,"
Comedy, Drama, Romance            ",112 min,(2010),"
    A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.","170,643",$32.37M,6.7,55        
There's Something About Mary,"
Comedy, Romance            ",119 min,(1998),"
    A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.","278,274",$176.48M,7.1,69        
Good Trouble,"
Comedy, Drama, Romance            ",45 min,(2019– ),"
    Callie and Mariana Foster move to Los Angeles and begin their lives as young adults.","2,448",,7.4,
No Strings Attached,"
Comedy, Romance            ",108 min,(I) (2011),"
    A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.","201,103",$70.66M,6.2,50        
Hercules,"
Animation, Adventure, Comedy            ",93 min,(1997),"
    The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.","188,388",$99.05M,7.3,74        
The Holiday,"
Comedy, Romance            ",136 min,(2006),"
    Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.","224,215",$63.22M,6.9,52        
"Love, Rosie","
Comedy, Romance            ",102 min,(2014),"
    Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies.","109,207",$0.01M,7.2,44        
"Love, Simon","
Comedy, Drama, Romance            ",110 min,(2018),"
    Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.","86,411",$40.83M,7.6,72        
Weird Science,"
Comedy, Romance, Sci-Fi            ",94 min,(1985),"
    Two high school nerds use a computer program to literally create the perfect woman, but she turns their lives upside down.","74,467",$23.83M,6.6,46        
Easy A,"
Comedy, Drama, Romance            ",92 min,(2010),"
    A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.","336,924",$58.40M,7.1,72        
The Princess Diaries,"
Comedy, Family, Romance            ",111 min,(2001),"
    Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year.","118,920",$108.25M,6.3,52        
What Men Want,"
Comedy, Fantasy, Romance            ",117 min,(2019),"
    A woman is boxed out by the male sports agents in her profession, but gains an unexpected edge over them when she develops the ability to hear men's thoughts.","14,240",$54.61M,5.1,49        
Midnight in Paris,"
Comedy, Fantasy, Romance            ",94 min,(2011),"
    While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.","363,191",$56.82M,7.7,81        
Das perfekte Geheimnis,"
Comedy, Drama, Romance            ",111 min,(2019),"
    Seven friends - three women and four men - meet for dinner. Everyone should put their cell phone on the table. No matter what message comes in - anyone can read it and listen to the phone calls. However, this leads to a lot of chaos.",519,,6.9,
When Harry Met Sally...,"
Comedy, Drama, Romance            ",95 min,(1989),"
    Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.","181,125",$92.82M,7.6,76        
Sixteen Candles,"
Comedy, Romance            ",93 min,(1984),"
    A girl's ""sweet"" sixteenth birthday becomes anything but special, as she suffers from every embarrassment possible.","96,649",$23.69M,7.1,61        
Focus,"
Comedy, Crime, Drama            ",105 min,(II) (2015),"
    In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.","197,300",$53.86M,6.6,56        
Friends with Benefits,"
Comedy, Romance            ",109 min,(2011),"
    A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.","322,554",$55.80M,6.5,63        
Coyote Ugly,"
Comedy, Drama, Music            ",100 min,(2000),"
    Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.","102,258",$60.79M,5.7,27        
Boomerang,"
Comedy, Drama, Romance            ",117 min,(1992),"
    A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.","24,173",$70.10M,5.5,45        
Ally McBeal,"
Comedy, Drama, Fantasy            ",45 min,(1997–2002),"
    Follows the personal and professional life of lawyer Ally.","28,396",,6.8,
The Bounty Hunter,"
Action, Comedy, Romance            ",110 min,(I) (2010),"
    A bounty hunter learns that his next target is his ex-wife, a reporter working on a murder cover-up. Soon after their reunion, the always-at-odds duo find themselves on a run-for-their-lives adventure.","114,903",$67.06M,5.6,22        
The Front Page,"
Comedy, Drama, Romance            ",105 min,(1974),"
    As a tabloid newspaper editor tries to prevent his top reporter from retiring, an escaped death row convict shows up at the office trying to convey his innocence.","11,352",$17.30M,7.3,
